left wing rib 8,left wing spar 2,{'weight': 1}
left wing rib 8,left wing stringer 1,{'weight': 1}
left wing rib 8,left wing stringer 2,{'weight': 1}
left wing rib 8,left wing stringer 3,{'weight': 1}
left wing rib 8,left wing stringer 4,{'weight': 1}
left wing rib 8,left wing stringer 5,{'weight': 1}
left wing rib 8,left wing stringer 6,{'weight': 1}
left wing rib 8,left wing stringer 7,{'weight': 1}
left wing rib 8,left wing stringer 8,{'weight': 1}
left wing rib 8,left wing stringer 9,{'weight': 1}
left wing rib 8,left wing stringer 10,{'weight': 1}
left wing rib 8,left wing stringer 11,{'weight': 1}
left wing rib 8,left wing stringer 12,{'weight': 1}
left wing rib 8,left slat 1,{'weight': 1}
left wing rib 9,left wing spar 1,{'weight': 1}
left wing rib 9,left wing spar 2,{'weight': 1}
left wing rib 9,left wing stringer 1,{'weight': 1}
left wing rib 9,left wing stringer 2,{'weight': 1}
left wing rib 9,left wing stringer 3,{'weight': 1}
left wing rib 9,left wing stringer 4,{'weight': 1}
left wing rib 9,left wing stringer 5,{'weight': 1}
left wing rib 9,left wing stringer 6,{'weight': 1}
left wing rib 9,left wing stringer 7,{'weight': 1}
left wing rib 9,left wing stringer 8,{'weight': 1}
left wing rib 9,left wing stringer 9,{'weight': 1}
left wing rib 9,left wing stringer 10,{'weight': 1}
left wing rib 9,left wing stringer 11,{'weight': 1}
left wing rib 9,left wing stringer 12,{'weight': 1}
left wing rib 9,left ground spoiler,{'weight': 1}
left wing rib 9,left slat 1,{'weight': 1}
left wing rib 10,left wing spar 1,{'weight': 1}
left wing rib 10,left wing spar 2,{'weight': 1}
left wing rib 10,left wing stringer 1,{'weight': 1}
left wing rib 10,left wing stringer 2,{'weight': 1}
left wing rib 10,left wing stringer 3,{'weight': 1}
left wing rib 10,left wing stringer 4,{'weight': 1}
left wing rib 10,left wing stringer 5,{'weight': 1}
left wing rib 10,left wing stringer 6,{'weight': 1}
left wing rib 10,left wing stringer 7,{'weight': 1}
left wing rib 10,left wing stringer 8,{'weight': 1}
left wing rib 10,left wing stringer 9,{'weight': 1}
left wing rib 10,left wing stringer 10,{'weight': 1}
left wing rib 10,left wing stringer 11,{'weight': 1}
left wing rib 10,left wing stringer 12,{'weight': 1}
left wing rib 10,left ground spoiler,{'weight': 1}
left wing rib 10,left slat 1,{'weight': 1}
left wing rib 10,left main gear beam hanger,{'weight': 1}
left wing rib 11,left wing spar 1,{'weight': 1}
left wing rib 11,left wing spar 2,{'weight': 1}
left wing rib 11,left wing stringer 1,{'weight': 1}
left wing rib 11,left wing stringer 2,{'weight': 1}
left wing rib 11,left wing stringer 3,{'weight': 1}
left wing rib 11,left wing stringer 4,{'weight': 1}
left wing rib 11,left wing stringer 5,{'weight': 1}
left wing rib 11,left wing stringer 6,{'weight': 1}
left wing rib 11,left wing stringer 7,{'weight': 1}
left wing rib 11,left wing stringer 8,{'weight': 1}
left wing rib 11,left wing stringer 9,{'weight': 1}
left wing rib 11,left wing stringer 10,{'weight': 1}
left wing rib 11,left wing stringer 11,{'weight': 1}
left wing rib 11,left wing stringer 12,{'weight': 1}
left wing rib 11,left ground spoiler,{'weight': 1}
left wing rib 11,left slat 2,{'weight': 1}
left wing rib 11,left main gear beam hanger,{'weight': 1}
left wing rib 12,left wing spar 1,{'weight': 1}
left wing rib 12,left wing spar 2,{'weight': 1}
left wing rib 12,left wing stringer 1,{'weight': 1}
left wing rib 12,left wing stringer 2,{'weight': 1}
left wing rib 12,left wing stringer 3,{'weight': 1}
left wing rib 12,left wing stringer 4,{'weight': 1}
left wing rib 12,left wing stringer 5,{'weight': 1}
left wing rib 12,left wing stringer 6,{'weight': 1}
left wing rib 12,left wing stringer 7,{'weight': 1}
left wing rib 12,left wing stringer 8,{'weight': 1}
left wing rib 12,left wing stringer 9,{'weight': 1}
left wing rib 12,left wing stringer 10,{'weight': 1}
left wing rib 12,left wing stringer 11,{'weight': 1}
left wing rib 12,left wing stringer 12,{'weight': 1}
left wing rib 12,left flap,{'weight': 1}
left wing rib 12,left ground spoiler,{'weight': 1}
left wing rib 12,left slat 2,{'weight': 1}
left wing rib 13,left wing spar 1,{'weight': 1}
left wing rib 13,left wing spar 2,{'weight': 1}
left wing rib 13,left wing stringer 1,{'weight': 1}
left wing rib 13,left wing stringer 2,{'weight': 1}
left wing rib 13,left wing stringer 3,{'weight': 1}
left wing rib 13,left wing stringer 4,{'weight': 1}
left wing rib 13,left wing stringer 5,{'weight': 1}
left wing rib 13,left wing stringer 6,{'weight': 1}
left wing rib 13,left wing stringer 7,{'weight': 1}
left wing rib 13,left wing stringer 8,{'weight': 1}
left wing rib 13,left wing stringer 9,{'weight': 1}
left wing rib 13,left wing stringer 10,{'weight': 1}
left wing rib 13,left wing stringer 11,{'weight': 1}
left wing rib 13,left wing stringer 12,{'weight': 1}
left wing rib 13,left flap,{'weight': 1}
left wing rib 13,left roll spoiler,{'weight': 1}
left wing rib 13,left slat 2,{'weight': 1}
left wing rib 14,left wing spar 1,{'weight': 1}
left wing rib 14,left wing spar 2,{'weight': 1}
left wing rib 14,left wing stringer 1,{'weight': 1}
left wing rib 14,left wing stringer 2,{'weight': 1}
left wing rib 14,left wing stringer 3,{'weight': 1}
left wing rib 14,left wing stringer 4,{'weight': 1}
left wing rib 14,left wing stringer 5,{'weight': 1}
left wing rib 14,left wing stringer 6,{'weight': 1}
left wing rib 14,left wing stringer 7,{'weight': 1}
left wing rib 14,left wing stringer 8,{'weight': 1}
left wing rib 14,left wing stringer 9,{'weight': 1}
left wing rib 14,left wing stringer 10,{'weight': 1}
left wing rib 14,left wing stringer 11,{'weight': 1}
left wing rib 14,left wing stringer 12,{'weight': 1}
left wing rib 14,left flap,{'weight': 1}
left wing rib 14,left roll spoiler,{'weight': 1}
left wing rib 14,left slat 3,{'weight': 1}
left wing rib 14,left inlet,{'weight': 1}
left wing rib 14,left nacelle,{'weight': 1}
left wing rib 15,left wing spar 1,{'weight': 1}
left wing rib 15,left wing spar 2,{'weight': 1}
left wing rib 15,left wing stringer 1,{'weight': 1}
left wing rib 15,left wing stringer 2,{'weight': 1}
left wing rib 15,left wing stringer 3,{'weight': 1}
left wing rib 15,left wing stringer 4,{'weight': 1}
left wing rib 15,left wing stringer 5,{'weight': 1}
left wing rib 15,left wing stringer 6,{'weight': 1}
left wing rib 15,left wing stringer 7,{'weight': 1}
left wing rib 15,left wing stringer 8,{'weight': 1}
left wing rib 15,left wing stringer 9,{'weight': 1}
left wing rib 15,left wing stringer 10,{'weight': 1}
left wing rib 15,left wing stringer 11,{'weight': 1}
